order_id,customer_id,customer_email,customer_name,customer_phone,customer_city,customer_country,order_date,shipped_date,delivery_date,product_id,product_name,category,quantity,unit_price_usd,discount_pct,total_amount_usd,payment_method,order_status,is_returned
ORD-000001,CUST-1383,david.anderson95@gmail.com,David Anderson,+1-717-716-1434,Tokyo,FR,2023-04-25,,,PROD-833,Premium Gadget 29,Sports,4,141.14,0.0,564.56,paypal,cancelled,1
ORD-000002,CUST-3988,carol.davis13@gmail.com,Carol Davis,+1-327-487-2291,Tokyo,IN,2023-01-07,2023-01-09,2023-01-16,PROD-949,Basic Gadget 46,Electronics,4,142.55,0.13,496.07,credit_card,shipped,0
ORD-000003,CUST-1700,leo.miller27@gmail.com,Leo Miller,+1-450-267-8573,Sydney,IN,2023-08-22,2023-08-23,2023-08-26,PROD-755,Ultra Gizmo 50,Toys,8,193.16,0.15,1313.49,credit_card,completed,0
ORD-000004,CUST-3207,pete.davis83@gmail.com,Pete Davis,+1-798-538-7543,Toronto,FR,2023-08-23,2023-08-30,2023-09-05,PROD-241,Premium Widget 49,Electronics,10,37.76,0.13,328.51,credit_card,processing,0
ORD-000005,CUST-4075,iris.moore2@gmail.com,Iris Moore,+1-856-448-2827,Mumbai,AU,2023-06-06,2023-06-13,2023-06-24,PROD-261,Premium Widget 47,Beauty,7,36.45,0.19,206.67,paypal,returned,1
ORD-000006,CUST-4805,frank.moore68@gmail.com,Frank Moore,+1-514-345-1949,Paris,NG,2024-05-27,2024-06-01,2024-06-13,PROD-180,Pro Device 5,Toys,9,-12.99,0.06,1292.1,crypto,cancelled,1
ORD-000007,CUST-3751,grace.harris70@gmail.com,Grace Harris,+1-648-629-8397,London,FR,2023-05-09,2023-05-13,2023-05-17,PROD-330,Pro Gizmo 2,Sports,10,136.2,0.0,1362.0,crypto,shipped,0
ORD-000008,CUST-1541,bob.white43@yahoo.com,Bob White,+1-784-690-8744,Paris,BR,2023-08-24,2023-08-25,,PROD-926,Premium Gadget 7,Electronics,4,317.4,0.0,1269.6,bank_transfer,cancelled,0
ORD-000009,CUST-1751,karen.jackson14@yahoo.com,Karen Jackson,+1-455-995-2235,São Paulo,JP,2023-12-29,2024-01-02,2024-01-04,PROD-200,Pro Widget 6,Toys,2,338.32,0.0,676.64,debit_card,cancelled,0
ORD-000010,CUST-3711,mia.jones59@yahoo.com,Mia Jones,+1-358-294-5861,Paris,US,2023-06-20,2023-06-24,2023-07-02,PROD-693,Pro Gizmo 4,Electronics,3,451.71,0.0,1355.13,crypto,returned,1
ORD-000011,CUST-2008,carol.anderson31@gmail.com,Carol Anderson,+1-240-734-2343,Sydney,NG,2024-05-03,2024-05-10,2024-05-12,PROD-678,Basic Gizmo 14,Beauty,2,480.59,0.03,932.34,paypal,returned,1
